gridID,vegslope,watslope,shdislope,fracslope,contagslope,tmpslope,popslope,ntlslope,cluster
1,0.002749359,-0.002666667,0.001028672,0.000273,-0.063897197,0.017285752,130.45,18.06725,1
2,0,0,0.015031185,0.000131,-0.731795371,0.017156975,6.6875,41.87925489,2
3,0,-0.005882353,-0.00630897,-0.000102,0.305699165,0.018571374,215.9230769,15.80130435,1
4,0.002749359,-0.015294118,0.00776004,-0.000581,-0.102221056,0.018402863,12.1,4.501666667,3
5,0.003536135,0,0.007940699,0.000179,-0.772837854,0.018749914,-4.666666667,33.71,3
6,0.002749359,0,0.00779831,-0.000586,0.277273514,0.017936507,47.9375,21.80769231,3
7,0.002728117,0,0.003225486,-0.000143,0.266379681,0.017687664,4.375,106.7075,3
8,0.002749359,-0.002105263,0.005671111,-0.000215,-0.327806849,0.017941266,6.125,39.31285714,3
9,0,0,0.008135681,-0.000522,2.070146545,0.015272144,0.304347826,15.17,1
10,0.006561965,0,-0.00861478,-0.000538,0.305852018,0.016230184,-51.33333333,61.32215686,3
11,0.004763427,0,0.011898126,0.000782,-1.316199828,0.018749886,-11.26315789,120.8742857,2
12,0.001367667,-0.005,-0.020560924,-0.000278,0.743737054,0.017420726,-11.5,30.9566516,1
13,0.005923315,0,-0.002302372,-0.000233,0.04353885,0.015952465,-12.92,54.596,3
14,0.002979023,0,-0.007138096,-0.00032,0.853785272,0.016810556,-2.266666667,51.872,3
15,0,0,0.008374823,0,0.703298729,0.014062614,-4.416666667,49.25625,3
16,0,0,0.004441086,-0.000295,0.016888866,0.014166687,6.428571429,58.5425,1
17,0,-0.0036,0.013418146,0.000156,-0.525450459,0.016346125,-0.4,59.85671642,2
18,0,0,0.001627936,5.52E-05,0.335926808,0.01642161,3,65.0775,3
19,0,0,-0.005087229,-0.000318,0.582908716,0.013652786,-28.64705882,74.67333333,1
20,0,-0.000833,-0.009605629,6.29E-05,0.516097559,0.011837897,-2.666666667,29.46214286,1
21,0,0,-8.37E-05,8.70E-05,-0.017193853,0.012687783,-15.0952381,93.316,2
22,0.004561419,0,-0.000935,-0.000473,0.181770772,0.0118538,-5.470588235,39.9,3
23,0.004342938,0,0.008485727,0.00026,-0.391848348,0.012432505,-22.95652174,21.92583333,3
24,0.004992601,0,-0.000784,-0.000652,0.681446475,0.01337308,0.25,58.08363636,3
25,0,0.000526,0.001789281,-0.000687,-0.051848123,0.01224999,0,38.69655172,1
26,0,0,-0.000114,0.000463,-0.51172093,0.012499661,-27.52,44.51948052,1
27,0.004798061,0,0,-8.60E-05,-0.082625404,0.009313682,0.947368421,32.57916667,3
28,0.004798061,0,0.011240895,-0.001066288,0.462233377,0.00989217,-8.125,75.52666667,3
29,0.003190014,0,0.001611016,0.000738,-0.362340774,0.019791669,0.571428571,48.67666667,3
30,0.004005734,0.000417,0.005769369,-0.000491,0.181445162,0.021007101,-32.72727273,88.55,3
31,0,0,0.005652736,6.50E-05,0.280868984,0.010715738,-38.45,104.5425,2
32,0,0,0.007045171,-0.000189,-0.613025368,0.010549904,40.5,82.772,2
33,0.004232684,0,0.021239868,-0.00016,0.302085984,0.011621655,-18.82142857,120.5922222,2
34,0.006389588,-0.005357143,0,-0.000346,0.172909893,0.008333228,0,50.45238095,3
35,0,-0.014137931,-0.008317808,-0.000387,0.02055405,0.008333228,0,-7.404761905,1
36,0.00681791,0,-0.007943275,0.000204,0.250667525,0.01470731,-4.625,71.42928571,3
37,0.006996664,0,0.026707369,-0.000108,0.109987739,0.013888922,24.4,99.1516,3
38,0.005721816,0,0.002363016,-5.92E-05,0.250712123,0.011583255,3,44.03916667,3
39,0.005757974,0,-0.01026134,8.92E-05,0.087249532,0.019729676,40.38461538,27.0875,3
40,0.005845259,0,-0.01255429,0.000485,0.061061993,0.01769241,-141.25,-5.931052632,3
41,0,0,-0.005548761,-0.001025872,1.958473679,0.009809538,-41.71428571,87.66217391,1
42,0,0,-0.00168181,-0.000966,1.079765555,0.009436271,-23.5,68.40380952,1
43,0,-0.00125,0.000439,3.10E-05,0,0.009249991,-36.61111111,47.13769231,1
44,0.003931786,0,-0.008819421,0.00034,-0.272274429,0.010178571,11,35.17222222,1
45,0.004190675,0,-0.012158248,-0.00022,1.781220346,0.010200172,45.30769231,27.14391304,1
46,0.004190675,0,-0.005188894,-7.08E-05,-0.384306702,0.011144465,35.05263158,21.93928571,1
47,0.000228,0,0.004198586,-0.000447,-0.082001344,0.009933258,-22.66666667,40.515,1
48,0,-0.023448276,-0.017348227,0.000465,0.105085507,0.009999975,0,40.97603129,1
49,-0.001141848,-0.016666667,-0.018839196,0,0.43066231,0.009666595,0,52.24512987,1
50,-0.00071,-0.0055,-0.002260201,-0.000116,0.099037766,0.010141353,0,49.52043011,1
51,-0.00071,0.0028,0.00865354,-6.69E-05,0.315394192,0.009499981,0.764705882,41.1734127,1
52,0,-0.007931034,-0.007409714,0.000638,-0.380604094,0.008905155,-29.33333333,92.24583333,2
53,0,-0.029310345,0.010670821,0.000365,-0.571433369,0.008333228,0,136.3608824,2
54,0.005735362,0,-0.007941418,-9.85E-05,0.50462038,0.025000067,52,50.98458333,3
55,0.005735362,-0.000345,0.005533345,-0.000182,-0.601472697,0.025000046,163.9473684,54.785,3
56,0.005735362,0,0.020004166,0.000213,-0.788430378,0.025277742,15,65.32888889,2
57,0.003459892,0,0,0,0,0.021153905,1.409090909,41.06217391,3
58,0.005616028,0,0.012639659,0.000515,-0.893937929,0.019333403,1.882352941,47.24,3
59,0.003856473,0,0.002450978,-0.000724,0.020571061,0.01832839,2.857142857,34.75083333,3
60,-0.000634,-0.000556,0.008555909,0.000968,-1.301761358,0.018684686,10.89473684,94.39428571,2
61,0.003274709,0.001666667,0.003769761,-9.23E-05,-0.125951763,0.017615292,3.545454545,97.2875,3
62,0.001955464,-0.000714,-0.012243424,0.000656,0.51925465,0.016923288,105.2333333,100.8429412,3
63,-9.66E-05,0,0.000736,0.000216,-0.031751392,0.019333122,-883,151.1165,2
64,0,-0.0025,0.008711731,-0.000416,-0.727728736,0.018750229,5.75,126.7903846,2
65,0.00059,0.004285714,0.017914492,-0.000861,-0.94512641,0.017727186,2.454545455,142.0073077,2
66,0.00059,0,0.002203253,-0.000292,-0.150322267,0.017424197,-1.384615385,145.6428,2
67,0.000612,0.002916667,0.001944384,0.000257,0.007733252,0.014705941,-14.9047619,47.60444444,3
68,0.00059,0,0.005565364,0.000153,-0.493949435,0.017015253,12.25,153.73625,2
69,0.004252995,0,0.007521396,0.000104,-0.443269669,0.014780324,38.23076923,45.73333333,3
70,0.004252995,0,0.013882098,0.000275,-0.671699621,0.014620732,52.28571429,34.93444444,3
71,0,0.000833,-0.004638666,-0.000351,-0.04907818,0.016515309,-11.33333333,101.5258824,3
72,0,-0.001071429,-0.011602515,-0.000106,0.196531592,0.014814871,238.8333333,4.5,1
73,0,0,-0.003230027,-0.000158,0,0.014926109,0,-8.33,1
74,0,0.003333333,-0.004226493,-9.50E-05,-0.282783511,0.015416702,38.66666667,70.07777778,1
75,0.005294057,-0.000833,0.016096897,0.000174,-0.619770049,0.018722175,-33.09090909,42.97318182,3
76,0,0,0.001428494,8.39E-06,-0.099058876,0.02243591,-8.25,79.77333333,3
77,0.003704306,0,0.001350651,0.000105,-0.412307572,0.023227041,-43.04166667,48.31210526,3
78,0,-0.031071429,-0.007670027,0.000526,-0.284979639,0.023435079,94.375,-25.52173913,1
79,0.003435195,0,0.002844746,0.001302354,-1.628227487,0.023742575,-6.909090909,63.16736842,2
80,0.000882,-0.003333333,-0.001516961,-3.66E-05,-0.619317775,0.024999984,0,-33.315,1
81,0.000882,-0.030344828,0.021040357,5.11E-05,-0.911937473,0.024747685,0,-59.88461538,3
82,0.003435195,-0.001034483,0.008015754,-0.000141,-0.518505987,0.023715348,-55.5,56.19827586,3
83,0.000882,0,-0.004463442,0.000263,-0.399371547,0.024536938,9.5,-23.52310345,1
84,0.003435195,-0.00069,-0.005384779,0.000208,0.329168441,0.024166775,98,21.44916667,3
85,0.003435195,-0.000345,-0.003278365,-2.31E-06,0.161128919,0.024305522,6.142857143,5.093333333,3
86,0.003435195,0,-0.000105,-5.85E-05,0.680115516,0.024277649,256.7857143,1.914285714,1
87,0.003435195,0,-0.002372005,2.39E-05,-0.461015428,0.024270789,352.4285714,-3.715789474,1
88,0.000882,-0.029375,0.006942674,-5.70E-05,0.035467285,0.024536928,0,21.03636364,3
89,0.000882,-0.013333333,0.017729215,7.53E-05,-0.962617883,0.024536974,0,4.636,2
90,0.005908508,0,-0.004793684,0.000437,-0.19945258,0.023949902,117.4705882,43.22428571,3
91,0,-0.004166667,0.00910769,0.000249,-0.239300618,0.024208503,2.708333333,59.07,2
92,0,0.000345,0.010707728,-0.000429,0.611969474,0.024347827,-8.166666667,62.74222222,3
93,0,-0.014,0.009897894,-0.000397,-0.267336667,0.013561038,-10,3.351410488,1
94,0,0.0092,0.023946472,-0.000121,-0.307096385,0.013494242,-14.23076923,54.37333333,2
95,0,0.004,0.012095128,0.000224,-0.225511081,0.01359264,-9.25,32.63461538,2
96,0.004675022,0.00037,0.010977322,-0.000114,-0.407789948,0.024683393,1.1,76.93083333,3
97,0.005467129,0,0.014316005,0.000256,-0.205161594,0.026199974,-59.625,75.492,3
98,0,-0.0152,-0.009756623,0.000425,-1.332500408,0.012626976,-15.88235294,111.2968061,2
99,0,0.005,0.00597383,1.34E-06,-0.682403389,0.012884595,-4.333333333,99.324,2
100,0,0.000714,0.011284421,0.000192,-1.452756579,0.012543577,-29.44444444,113.0411866,2
101,0,-0.000714,0.023291146,-0.000125,-0.353955289,0.013141053,10,90.51478261,2
102,-0.000353,0,0.018247884,0.000474,-1.92777167,0.013333368,1.142857143,146.32,2
103,0.004960188,0.00125,0.01365917,-0.00033,-0.091833926,0.013760395,1.421052632,82.845,3
104,0,0.000667,-0.00072,-7.78E-05,-0.005581881,0.012611059,-13.6,69.4,1
105,0,0,0.018991932,-0.000106,-1.770084246,0.012638855,-14.5,67.23333333,2
106,0,0,0.01126868,0,-0.580154306,0.012696411,-22,55.40166667,2
107,0,0,0.005769712,0.000289,-1.239909293,0.013481598,242.4,41.97692308,1
108,0,-0.000357,-0.004207505,-0.000252,0.023240917,0.013263931,250.3333333,7.22,1
109,0.003426544,0,0.019938008,0,-1.058540835,0.013902769,1.695652174,75.08409091,2
110,0.004493229,-0.003333333,-0.007991066,0.000216,0.32863635,0.022083341,-108.65,-9.328,3
111,0,-0.003703704,-0.017878183,0.000575,0.708900633,0.012666821,0,79.279,1
112,0,-0.032608696,0.001314079,-2.98E-05,0.482926164,0.023076874,28.45833333,30.28568182,3
113,0.004539989,0,0.002358168,-0.000159,0.276451855,0.020847959,10,30.10952381,3
114,0.00401285,0,0.000562,3.90E-10,-0.176348976,0.019089964,72,89.116,3
115,0.008894929,0,0.00694804,-0.000809,-0.202219374,0.013678552,-64.05882353,89.019,3
116,0.008894929,0,0.008501028,0.000138,-0.72721823,0.014256375,-47.8125,102.6388889,3
117,0.004491483,0,0.010128888,-0.000309,0.178885634,0.018390779,8.615384615,51.8575,3
118,0.002566155,0,0.002532392,0.000171,-0.355502873,0.01872992,20.68,89.825,3
119,0.002577852,0,-0.013224446,1.65E-10,0.024047843,0.019459722,147.3636364,1.909411765,1
120,0.002655263,-5.00E-04,-0.001794817,0.000636,-0.778649211,0.019363298,-53.90909091,55.59428571,3
121,0.0061425,0.002173913,0.003477879,-0.000186,-0.135116479,0.018589324,8.368421053,65.70454545,3
122,0.002566155,0.002222222,0.000699,-0.00034,0.44564112,0.018557629,290.4285714,-3.845454545,1
123,0.00759936,0.001428571,-0.008724392,-0.000478,0.589432276,0.025154762,40.96551724,43.06631579,3
124,0.007567704,-0.001578947,0.012196906,-0.000197,-0.340697761,0.025250816,-4.333333333,50.17555556,3
125,0.004100335,0.007272727,0.033261279,-0.00026,0.195023198,0.016592579,22.28571429,118.8361905,2
126,0.003418149,0,0.005451292,-0.00021,0.323462444,0.017166846,-1.714285714,149.21,3
127,0.003998548,0,0.017811192,-0.000487,-0.402164211,0.023500084,-51.36842105,139.78,2
128,0.001217198,0,0.019698655,-0.00038,0.004498622,0.022884654,4,157.0853846,2
129,0.004917653,0,0.007443179,-0.000123,0.304786899,0.023472256,-1.75,112.4092308,3
130,0.006311824,0,0.0024792,0.000176,-0.58641727,0.017426547,-9.125,118.0136,3
131,0.003049458,0,0.001320068,0.000174,-0.60362743,0.024666797,87.57142857,111.5745455,2
132,0.003345855,0,0.0153356,0.000118,-0.530634583,0.02277216,-5.928571429,109.585,2
133,0.003345855,-0.000385,-2.88E-05,-9.31E-05,-0.040928358,0.022500017,123,22.6,3
134,0.003737273,0,0.008429972,0.000577,-0.456084889,0.022435922,-65.8125,70.68714286,3
135,0,-0.005416667,-0.018771973,0.000369,0.089460184,0.007749918,-2,91.30444444,1
136,0.007256977,0,0.006477913,0.000546,-0.21428905,0.01537767,-27.95238095,46.284,3
137,0.007156104,0,-0.011369616,0.000531,0.31954752,0.014998773,-181.25,54.84344828,3
138,0,0,0.009148706,-0.000469,2.149073191,0.014837296,-31.84,48.87217391,3
139,0,0,0.00616209,-0.000311,0.252094364,0.012708693,0.714285714,101.0711111,2
140,0,-0.000345,0.00834347,-0.000287,-0.097886942,0.012499995,-0.4,34.22443182,1
141,0.006930726,0,0.000424,0.00017,-0.070212978,0.016127445,31.66666667,75.74391304,3
142,0,0.005555556,0.020671218,0,-0.799271062,0.014730588,24.40909091,62.30120482,2
143,0.005398287,0.009545455,0.01097826,-0.00018,0.108278634,0.013534271,0.952380952,89.21625,3
144,0,0,0.008987742,-0.00032,0.028124275,0.013395541,-1.470588235,21.39190476,1
